x,Sol_ap,Sol_exact
0.003184,48.373,48.3694
0.003192,48.3674,48.3638
0.0032,48.3618,48.3582
0.003208,48.3562,48.3526
0.003216,48.3506,48.347
0.003224,48.345,48.3414
0.003232,48.3394,48.3358
0.00324,48.3338,48.3302
0.003248,48.3282,48.3246
0.003256,48.3227,48.319
0.003264,48.3171,48.3134
0.003272,48.3115,48.3078
0.00328,48.3059,48.3023
0.003288,48.3003,48.2967
0.003296,48.2947,48.2911
0.003304,48.2891,48.2855
0.003312,48.2835,48.2799
0.00332,48.278,48.2743
0.003328,48.2724,48.2687
0.003336,48.2668,48.2632
0.003344,48.2612,48.2576
0.003352,48.2556,48.252
0.00336,48.2501,48.2464
0.003368,48.2445,48.2409
0.003376,48.2389,48.2353
0.003384,48.2333,48.2297
0.003392,48.2278,48.2241
0.0034,48.2222,48.2186
0.003408,48.2166,48.213
0.003416,48.211,48.2074
0.003424,48.2055,48.2019
0.003432,48.1999,48.1963
0.00344,48.1943,48.1907
0.003448,48.1888,48.1852
0.003456,48.1832,48.1796
0.003464,48.1777,48.174
0.003472,48.1721,48.1685
0.00348,48.1665,48.1629
0.003488,48.161,48.1574
0.003496,48.1554,48.1518
0.003504,48.1499,48.1463
0.003512,48.1443,48.1407
0.00352,48.1388,48.1351
0.003528,48.1332,48.1296
0.003536,48.1277,48.124
0.003544,48.1221,48.1185
0.003552,48.1166,48.1129
0.00356,48.111,48.1074
0.003568,48.1055,48.1018
0.003576,48.0999,48.0963
0.003584,48.0944,48.0908
0.003592,48.0888,48.0852
0.0036,48.0833,48.0797
0.003608,48.0777,48.0741
0.003616,48.0722,48.0686
0.003624,48.0667,48.0631
0.003632,48.0611,48.0575
0.00364,48.0556,48.052
0.003648,48.0501,48.0465
0.003656,48.0445,48.0409
0.003664,48.039,48.0354
0.003672,48.0335,48.0299
0.00368,48.0279,48.0243
0.003688,48.0224,48.0188
0.003696,48.0169,48.0133
0.003704,48.0113,48.0078
0.003712,48.0058,48.0022
0.00372,48.0003,47.9967
0.003728,47.9948,47.9912
0.003736,47.9893,47.9857
0.003744,47.9837,47.9801
0.003752,47.9782,47.9746
0.00376,47.9727,47.9691
0.003768,47.9672,47.9636
0.003776,47.9617,47.9581
0.003784,47.9561,47.9526
